Schema,Table,Field,Field_Type,Field_Length,Constraint,FakerType
public,odr_visits_care,id,integer,,PRIMARY KEY,NA
public,odr_visits_care,plan_move_residence_details,text,,,Lorem
public,odr_visits_care,who_is_doing_the_caring,text,,,Lorem
public,organisation,id,integer,,PRIMARY KEY,NA
public,organisation,name,character varying,256,,Organisation
public,organisation_user,organisation_id,integer,,PRIMARY KEY,NA
public,organisation_user,user_id,integer,,PRIMARY KEY,NA
public,pre_registration,client_lastname,character varying,50,,LastName
public,pre_registration,deputy_address_1,character varying,255,,Lorem
public,pre_registration,deputy_address_2,character varying,255,,Lorem
public,pre_registration,deputy_address_3,character varying,255,,Lorem
public,pre_registration,deputy_address_4,character varying,255,,Lorem
public,pre_registration,deputy_address_5,character varying,255,,Lorem
public,pre_registration,deputy_firstname,character varying,100,,FirstName
public,pre_registration,deputy_lastname,character varying,100,,LastName
public,pre_registration,deputy_postcode,character varying,10,,PostCode
public,pre_registration,hybrid,character varying,6,,Lorem
public,pre_registration,id,integer,,PRIMARY KEY,NA
public,pre_registration,order_type,character varying,255,,Lorem
public,pre_registration,type_of_report,character varying,10,,Lorem
public,prof_deputy_estimate_cost,id,integer,,PRIMARY KEY,NA
public,prof_deputy_estimate_cost,more_details,text,,,Lorem
public,prof_deputy_estimate_cost,prof_deputy_estimate_cost_type_id,character varying,255,,Lorem
public,prof_deputy_interim_cost,id,integer,,PRIMARY KEY,NA
public,prof_deputy_other_cost,id,integer,,PRIMARY KEY,NA
public,prof_deputy_other_cost,more_details,text,,,Lorem
public,prof_deputy_other_cost,prof_deputy_other_cost_type_id,character varying,255,,Lorem
public,prof_deputy_prev_cost,id,integer,,PRIMARY KEY,NA
public,prof_service_fee,assessed_or_fixed,character varying,255,,Lorem
public,prof_service_fee,fee_type_id,character varying,255,,Lorem
public,prof_service_fee,id,integer,,PRIMARY KEY,NA
public,prof_service_fee,other_fee_details,character varying,255,,Lorem
public,prof_service_fee,payment_received,character varying,255,,Lorem
public,prof_service_fee,service_type_id,character varying,255,,Lorem
public,report,action_more_info_details,text,,,Lorem
public,report,agreed_behalf_deputy,character varying,50,,Lorem
public,report,agreed_behalf_deputy_explanation,text,,,Lorem
public,report,balance_mismatch_explanation,text,,,Lorem
public,report,current_prof_payments_received,character varying,255,,Lorem
public,report,debt_management,text,,,Lorem
public,report,id,integer,,PRIMARY KEY,NA
public,report,prof_dc_estimate_hc,character varying,10,,Lorem
public,report,prof_dc_estimate_more_info_details,text,,,Lorem
public,report,prof_dc_how_charged,character varying,10,,Lorem
public,report,prof_dc_scco_reason_beyond_estimate,text,,,Lorem
public,report,prof_fees_estimate_scco_reason,text,,,Lorem
public,report,reason_for_no_contacts,text,,,Lorem
public,report,reason_for_no_decisions,text,,,Lorem
public,report,reason_for_no_fees,text,,,Lorem
public,report,reason_for_no_money_in,text,,,Lorem
public,report,reason_for_no_money_out,text,,,Lorem
public,report,wish_to_provide_documentation,character varying,255,,Lorem
public,report_submission,id,integer,,PRIMARY KEY,NA
public,report_submission,opg_uuid,character varying,36,,Lorem
public,research_type,id,uuid,,PRIMARY KEY,NA
public,review_checklist,decision,character varying,30,,Lorem
public,review_checklist,id,integer,,PRIMARY KEY,NA
public,safeguarding,does_client_receive_paid_care,text,,,Lorem
public,safeguarding,how_is_care_funded,character varying,255,,Lorem
public,safeguarding,how_often_contact_client,text,,,Lorem
public,safeguarding,id,integer,,PRIMARY KEY,NA
public,safeguarding,who_is_doing_the_caring,text,,,Lorem
public,satisfaction,comments,text,,,Lorem
public,satisfaction,deputy_role,character varying,50,,Lorem
public,satisfaction,id,integer,,PRIMARY KEY,NA
public,satisfaction,report_type,character varying,9,,Lorem
public,setting,content,text,,,Lorem
public,setting,id,character varying,64,PRIMARY KEY,NA
public,user_research_response,deputyship_length,character varying,255,,Lorem
public,user_research_response,id,uuid,,PRIMARY KEY,NA
